,BTCUSDT,ETHUSDT,LTCUSDT,TRXUSDT,XRPUSDT
2023-08-07 06:58:28.211083,128.5,96.5,85.0,98.5,87.5
2023-08-07 06:58:57.784344,128.5,96.5,85.0,98.5,87.5
2023-08-07 07:00:21.347665,128.5,96.5,85.0,98.5,87.5
2023-08-07 07:00:38.390313,128.5,96.5,85.0,98.5,87.5
2023-08-07 07:01:06.693509,128.5,96.5,85.0,98.5,87.5
2023-08-07 07:01:21.908675,128.5,96.5,85.0,98.5,87.5
2023-08-07 07:01:37.858767,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:17:21.378581,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:53:58.748179,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:58:17.755884,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:58:38.155802,128.5,96.5,85.0,98.5,87.5
